,Unnamed: 0,Start,End,Delta,Course
49,0,2025-03-20 11:06:21,20/03/25 12:49:23,0 days 01:43:02.425018,MécaniquedesMilieuxContinus.csv
50,0,2025-03-22 09:48:51,22/03/25 11:58:14,0 days 02:09:23.871563,MécaniquedesMilieuxContinus.csv
51,0,2025-03-22 13:21:37,22/03/25 16:24:20,0 days 03:02:43.633782,MécaniquedesMilieuxContinus.csv
52,0,2025-03-22 18:43:27,22/03/25 19:32:32,0 days 00:49:05.388626,MécaniquedesMilieuxContinus.csv
53,0,2025-03-23 10:10:50,23/03/25 11:13:43,0 days 01:02:53.734145,MécaniquedesMilieuxContinus.csv
54,0,2025-03-23 13:25:20,23/03/25 15:57:44,0 days 02:32:24.256098,MécaniquedesMilieuxContinus.csv
55,0,2025-03-24 09:45:16,24/03/25 12:08:24,0 days 02:23:08.721097,MécaniquedesMilieuxContinus.csv
56,0,2025-03-25 09:27:10,25/03/25 11:46:39,0 days 02:19:29.054251,MécaniquedesMilieuxContinus.csv
57,0,2025-03-25 14:30:14,25/03/25 16:44:52,0 days 02:14:38.181766,MécaniquedesMilieuxContinus.csv
11,0,2025-03-29 10:30:08,29/03/25 12:13:04,0 days 01:42:56.703952,Thermodynamique.csv
12,0,2025-03-29 13:53:13,29/03/25 15:42:49,0 days 01:49:36.964296,Thermodynamique.csv
13,0,2025-03-29 16:40:54,29/03/25 17:49:00,0 days 01:08:06.434957,Thermodynamique.csv
14,0,2025-03-30 10:34:06,30/03/25 12:46:43,0 days 02:12:37.401694,Thermodynamique.csv
15,0,2025-03-30 13:52:42,30/03/25 16:04:58,0 days 02:12:16.297887,Thermodynamique.csv
16,0,2025-03-30 17:12:49,30/03/25 18:25:06,0 days 01:12:17.740232,Thermodynamique.csv
